split,source,model,real,fake,total
test,CNNDetection,biggan,2000,2000,4000
test,CNNDetection,crn,6382,6382,12764
test,CNNDetection,cyclegan,1868,1868,3736
test,CNNDetection,deepfake,2707,2698,5405
test,CNNDetection,gaugan,5000,5000,10000
test,CNNDetection,imle,6382,6382,12764
test,CNNDetection,progan,4000,4000,8000
test,CNNDetection,san,219,219,438
test,CNNDetection,seeingdark,180,180,360
test,CNNDetection,stargan,1999,1999,3998
test,CNNDetection,stylegan,5991,5991,11982
test,CNNDetection,stylegan2,7988,7988,15976
test,Co-Spy-Bench,flux,1996,2000,3996
test,Co-Spy-Bench,ldm,1999,2000,3999
test,Co-Spy-Bench,sd1.4,1987,2000,3987
test,Co-Spy-Bench,sd2.1,1979,2000,3979
test,Co-Spy-Bench,sd3.5,2000,2000,4000
test,Co-Spy-Bench,sdxl,2000,2000,4000
test,ComplexDataLab/OpenFake,gpt-image1.5,2000,2000,4000
test,GPT-Image-2 Twitter,gpt-image2.0,2000,2000,4000
train,CNNDetection,progan,40000,40000,80000
train,Co-Spy-Bench,ldm,10000,10000,20000
train,Co-Spy-Bench,sd1.4,9987,10000,19987
train,Co-Spy-Bench,sd2.1,10000,10000,20000
train,Co-Spy-Bench,sdxl,10000,10000,20000
val,CNNDetection,progan,800,800,1600
val,Co-Spy-Bench,ldm,200,200,400
val,Co-Spy-Bench,sd1.4,197,200,397
val,Co-Spy-Bench,sd2.1,200,200,400
val,Co-Spy-Bench,sdxl,200,200,400
