directory,num_images
dataset/train/ldm/0_real,10000
dataset/train/ldm/1_fake,10000
dataset/train/progan/car/0_real,10000
dataset/train/progan/car/1_fake,10000
dataset/train/progan/cat/0_real,10000
dataset/train/progan/cat/1_fake,10000
dataset/train/progan/chair/0_real,10000
dataset/train/progan/chair/1_fake,10000
dataset/train/progan/horse/0_real,10000
dataset/train/progan/horse/1_fake,10000
dataset/train/sd1.4/0_real,9987
dataset/train/sd1.4/1_fake,10000
dataset/train/sd2.1/0_real,10000
dataset/train/sd2.1/1_fake,10000
dataset/train/sdxl/0_real,10000
dataset/train/sdxl/1_fake,10000
dataset/val/ldm/0_real,200
dataset/val/ldm/1_fake,200
dataset/val/progan/car/0_real,200
dataset/val/progan/car/1_fake,200
dataset/val/progan/cat/0_real,200
dataset/val/progan/cat/1_fake,200
dataset/val/progan/chair/0_real,200
dataset/val/progan/chair/1_fake,200
dataset/val/progan/horse/0_real,200
dataset/val/progan/horse/1_fake,200
dataset/val/sd1.4/0_real,197
dataset/val/sd1.4/1_fake,200
dataset/val/sd2.1/0_real,200
dataset/val/sd2.1/1_fake,200
dataset/val/sdxl/0_real,200
dataset/val/sdxl/1_fake,200
dataset/test/biggan/0_real,2000
dataset/test/biggan/1_fake,2000
dataset/test/crn/0_real,6382
dataset/test/crn/1_fake,6382
dataset/test/cyclegan/apple/0_real,266
dataset/test/cyclegan/apple/1_fake,248
dataset/test/cyclegan/horse/0_real,120
dataset/test/cyclegan/horse/1_fake,140
dataset/test/cyclegan/orange/0_real,248
dataset/test/cyclegan/orange/1_fake,266
dataset/test/cyclegan/summer/0_real,618
dataset/test/cyclegan/summer/1_fake,476
dataset/test/cyclegan/winter/0_real,476
dataset/test/cyclegan/winter/1_fake,618
dataset/test/cyclegan/zebra/0_real,140
dataset/test/cyclegan/zebra/1_fake,120
dataset/test/deepfake/0_real,2707
dataset/test/deepfake/1_fake,2698
dataset/test/flux/0_real,1996
dataset/test/flux/1_fake,2000
dataset/test/gaugan/0_real,5000
dataset/test/gaugan/1_fake,5000
dataset/test/gpt-image1.5/0_real,2000
dataset/test/gpt-image1.5/1_fake,2000
dataset/test/gpt-image2.0/0_real,2000
dataset/test/gpt-image2.0/1_fake,2000
dataset/test/imle/0_real,6382
dataset/test/imle/1_fake,6382
dataset/test/ldm/0_real,1999
dataset/test/ldm/1_fake,2000
dataset/test/progan/airplane/0_real,200
dataset/test/progan/airplane/1_fake,200
dataset/test/progan/bicycle/0_real,200
dataset/test/progan/bicycle/1_fake,200
dataset/test/progan/bird/0_real,200
dataset/test/progan/bird/1_fake,200
dataset/test/progan/boat/0_real,200
dataset/test/progan/boat/1_fake,200
dataset/test/progan/bottle/0_real,200
dataset/test/progan/bottle/1_fake,200
dataset/test/progan/bus/0_real,200
dataset/test/progan/bus/1_fake,200
dataset/test/progan/car/0_real,200
dataset/test/progan/car/1_fake,200
dataset/test/progan/cat/0_real,200
dataset/test/progan/cat/1_fake,200
dataset/test/progan/chair/0_real,200
dataset/test/progan/chair/1_fake,200
dataset/test/progan/cow/0_real,200
dataset/test/progan/cow/1_fake,200
dataset/test/progan/diningtable/0_real,200
dataset/test/progan/diningtable/1_fake,200
dataset/test/progan/dog/0_real,200
dataset/test/progan/dog/1_fake,200
dataset/test/progan/horse/0_real,200
dataset/test/progan/horse/1_fake,200
dataset/test/progan/motorbike/0_real,200
dataset/test/progan/motorbike/1_fake,200
dataset/test/progan/person/0_real,200
dataset/test/progan/person/1_fake,200
dataset/test/progan/pottedplant/0_real,200
dataset/test/progan/pottedplant/1_fake,200
dataset/test/progan/sheep/0_real,200
dataset/test/progan/sheep/1_fake,200
dataset/test/progan/sofa/0_real,200
dataset/test/progan/sofa/1_fake,200
dataset/test/progan/train/0_real,200
dataset/test/progan/train/1_fake,200
dataset/test/progan/tvmonitor/0_real,200
dataset/test/progan/tvmonitor/1_fake,200
dataset/test/san/0_real,219
dataset/test/san/1_fake,219
dataset/test/sd1.4/0_real,1987
dataset/test/sd1.4/1_fake,2000
dataset/test/sd2.1/0_real,1979
dataset/test/sd2.1/1_fake,2000
dataset/test/sd3.5/0_real,2000
dataset/test/sd3.5/1_fake,2000
dataset/test/sdxl/0_real,2000
dataset/test/sdxl/1_fake,2000
dataset/test/seeingdark/0_real,180
dataset/test/seeingdark/1_fake,180
dataset/test/stargan/0_real,1999
dataset/test/stargan/1_fake,1999
dataset/test/stylegan/bedroom/0_real,1997
dataset/test/stylegan/bedroom/1_fake,1997
dataset/test/stylegan/car/0_real,1997
dataset/test/stylegan/car/1_fake,1997
dataset/test/stylegan/cat/0_real,1997
dataset/test/stylegan/cat/1_fake,1997
dataset/test/stylegan2/car/0_real,1997
dataset/test/stylegan2/car/1_fake,1997
dataset/test/stylegan2/cat/0_real,1997
dataset/test/stylegan2/cat/1_fake,1997
dataset/test/stylegan2/church/0_real,1997
dataset/test/stylegan2/church/1_fake,1997
dataset/test/stylegan2/horse/0_real,1997
dataset/test/stylegan2/horse/1_fake,1997
